"id";"idade";"escolaridade";"estado_civil";"renda";"criancas_casa";"adolescentes_casa";"data_inscricao";"dias_ultima_compra";"gasto_vinhos";"gasto_frutas";"gasto_carnes";"gasto_peixes";"gasto_doces";"gastos_premium";"compras_desconto";"compras_site";"compras_catalogo";"compras_loja";"visitas_mes_site";"reclamacao";"campanha1";"campanha2";"campanha3";"campanha4";"campanha5";"campanha6"
5524;57;"Graduacao";"Solteiro";58138;0;0;"2012-09-04";58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;1
2174;60;"Graduacao";"Solteiro";46344;1;1;"2014-03-08";38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;0
4141;49;"Graduacao";"Casado";71613;0;0;"2013-08-21";26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;0
6182;30;"Graduacao";"Casado";26646;1;0;"2014-02-10";26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;0
5324;33;"Doutorado";"Casado";58293;1;0;"2014-01-19";94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;0
7446;47;"Mestrado";"Casado";62513;0;1;"2013-09-09";16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;0
965;43;"Graduacao";"Divorciado";55635;0;1;"2012-11-13";34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;0
6177;29;"Doutorado";"Casado";33454;1;0;"2013-05-08";32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;0
4855;40;"Doutorado";"Casado";30351;1;0;"2013-06-06";19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;1
5899;64;"Doutorado";"Casado";5648;1;1;"2014-03-13";68;28;0;6;1;1;13;1;1;0;0;20;0;0;0;1;0;0;0
387;38;"Ensino Basico";"Casado";7500;0;0;"2012-11-13";59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;0
2125;55;"Graduacao";"Divorciado";63033;0;0;"2013-11-15";82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;0
